,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5993,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
5994,0.478,0.873,4.0,-3.637,1.0,0.122,0.0486,0.0,0.374,0.739,104.365,audio_features,2yySWxfeRN2QRZnFMnYMQl,spotify:track:2yySWxfeRN2QRZnFMnYMQl,https://api.spotify.com/v1/tracks/2yySWxfeRN2QRZnFMnYMQl,https://api.spotify.com/v1/audio-analysis/2yySWxfeRN2QRZnFMnYMQl,155668.0,4.0
5995,0.583,0.867,11.0,-4.17,1.0,0.0637,0.143,0.0,0.0863,0.962,160.096,audio_features,4QpWhd7l2NrmGmfw4qGlpa,spotify:track:4QpWhd7l2NrmGmfw4qGlpa,https://api.spotify.com/v1/tracks/4QpWhd7l2NrmGmfw4qGlpa,https://api.spotify.com/v1/audio-analysis/4QpWhd7l2NrmGmfw4qGlpa,164678.0,4.0
5996,0.523,0.927,4.0,-2.796,1.0,0.0489,0.0272,5.98e-06,0.168,0.939,149.929,audio_features,48F2xnWq3LuzYWML327Z2r,spotify:track:48F2xnWq3LuzYWML327Z2r,https://api.spotify.com/v1/tracks/48F2xnWq3LuzYWML327Z2r,https://api.spotify.com/v1/audio-analysis/48F2xnWq3LuzYWML327Z2r,185070.0,4.0
5997,0.612,0.884,5.0,-4.4,1.0,0.0459,0.00516,0.0,0.0997,0.626,119.991,audio_features,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/tracks/0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626.0,4.0
5998,0.721,0.596,1.0,-3.985,1.0,0.0275,0.0137,3.53e-06,0.0671,0.359,98.995,audio_features,69XcvSymPaTke2Qb6f3W6P,spotify:track:69XcvSymPaTke2Qb6f3W6P,https://api.spotify.com/v1/tracks/69XcvSymPaTke2Qb6f3W6P,https://api.spotify.com/v1/audio-analysis/69XcvSymPaTke2Qb6f3W6P,155653.0,4.0
5999,0.619,0.852,8.0,-5.243,0.0,0.0808,0.0539,2.82e-06,0.124,0.339,125.943,audio_features,0vcfOQOvTCv8ckiRs8Xc1Z,spotify:track:0vcfOQOvTCv8ckiRs8Xc1Z,https://api.spotify.com/v1/tracks/0vcfOQOvTCv8ckiRs8Xc1Z,https://api.spotify.com/v1/audio-analysis/0vcfOQOvTCv8ckiRs8Xc1Z,191600.0,4.0
6000,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,audio_features,2rxQMGVafnNaRaXlRMWPde,spotify:track:2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,193200.0,4.0
6001,0.596,0.762,3.0,-4.576,1.0,0.0333,0.0363,0.0,0.0821,0.794,160.021,audio_features,6QD7xOu1N8s2NVOKqn6je8,spotify:track:6QD7xOu1N8s2NVOKqn6je8,https://api.spotify.com/v1/tracks/6QD7xOu1N8s2NVOKqn6je8,https://api.spotify.com/v1/audio-analysis/6QD7xOu1N8s2NVOKqn6je8,195880.0,4.0
6002,0.516,0.745,2.0,-8.352,1.0,0.0774,0.564,0.0,0.275,0.826,186.006,audio_features,5FmvaZGd6fulojSToozLRD,spotify:track:5FmvaZGd6fulojSToozLRD,https://api.spotify.com/v1/tracks/5FmvaZGd6fulojSToozLRD,https://api.spotify.com/v1/audio-analysis/5FmvaZGd6fulojSToozLRD,173173.0,3.0
6003,0.606,0.713,0.0,-6.472,0.0,0.0244,0.0213,1.98e-06,0.358,0.811,108.987,audio_features,6BSLkNSWTWzaC2wbBlD2QI,spotify:track:6BSLkNSWTWzaC2wbBlD2QI,https://api.spotify.com/v1/tracks/6BSLkNSWTWzaC2wbBlD2QI,https://api.spotify.com/v1/audio-analysis/6BSLkNSWTWzaC2wbBlD2QI,205267.0,3.0
6004,0.595,0.58,7.0,-6.482,1.0,0.0465,0.36,0.0,0.0992,0.329,74.99,audio_features,16ayXVtAftZYobyrNsZUQv,spotify:track:16ayXVtAftZYobyrNsZUQv,https://api.spotify.com/v1/tracks/16ayXVtAftZYobyrNsZUQv,https://api.spotify.com/v1/audio-analysis/16ayXVtAftZYobyrNsZUQv,188014.0,4.0
6005,0.745,0.475,7.0,-5.574,1.0,0.0386,0.356,0.0,0.115,0.431,94.964,audio_features,1m8Vr5xZ80ALZS42c5YJsD,spotify:track:1m8Vr5xZ80ALZS42c5YJsD,https://api.spotify.com/v1/tracks/1m8Vr5xZ80ALZS42c5YJsD,https://api.spotify.com/v1/audio-analysis/1m8Vr5xZ80ALZS42c5YJsD,186960.0,4.0
6006,0.646,0.724,9.0,-6.96,1.0,0.0265,0.017,1.39e-06,0.153,0.54,115.984,audio_features,0p1HtkrNYxv0iDfEKwXSTp,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/tracks/0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/audio-analysis/0p1HtkrNYxv0iDfEKwXSTp,233480.0,4.0
6007,0.676,0.405,7.0,-6.727,1.0,0.0657,0.826,0.0,0.0969,0.826,159.956,audio_features,0AKXluN0l9qehXhegtRazb,spotify:track:0AKXluN0l9qehXhegtRazb,https://api.spotify.com/v1/tracks/0AKXluN0l9qehXhegtRazb,https://api.spotify.com/v1/audio-analysis/0AKXluN0l9qehXhegtRazb,190827.0,4.0
6008,0.657,0.639,0.0,-5.483,1.0,0.0308,0.0481,0.0,0.196,0.474,122.047,audio_features,4iK2zz811mSOLZqLGgII16,spotify:track:4iK2zz811mSOLZqLGgII16,https://api.spotify.com/v1/tracks/4iK2zz811mSOLZqLGgII16,https://api.spotify.com/v1/audio-analysis/4iK2zz811mSOLZqLGgII16,157867.0,4.0
6009,0.765,0.92,6.0,-4.362,1.0,0.0984,0.249,0.0,0.618,0.799,121.011,audio_features,5ycEpZQumS0oXR46E7tBWM,spotify:track:5ycEpZQumS0oXR46E7tBWM,https://api.spotify.com/v1/tracks/5ycEpZQumS0oXR46E7tBWM,https://api.spotify.com/v1/audio-analysis/5ycEpZQumS0oXR46E7tBWM,175772.0,4.0
6010,0.543,0.837,11.0,-6.448,1.0,0.0608,0.117,0.0,0.0872,0.506,168.056,audio_features,6GsAD8PgHxmEuIPTG8GP3M,spotify:track:6GsAD8PgHxmEuIPTG8GP3M,https://api.spotify.com/v1/tracks/6GsAD8PgHxmEuIPTG8GP3M,https://api.spotify.com/v1/audio-analysis/6GsAD8PgHxmEuIPTG8GP3M,186080.0,4.0
